"year","OC","Nsc","r"
2016,40.96902,1.4436755010009,0.0182799123472118
2017,41.724817,1.47030844493341,0.0175250614066691
2018,42.462492,1.49630280177184,0.0164741883415278
2019,43.167821,1.521157343019,0.0154640144243378
2020,43.840557,1.54486336483356,0.01081782552674
2021,44.317391,1.56166614810356,0.0108093586668853
2022,44.799032,1.578638321516,0.0111131714991648
2023,45.299668,1.59627984499201,NA
