"x.R","R.fit","R.upr","R.lwr","x.G","G.fit","G.upr","G.lwr"
1045.493506,0.025234621162341,0.0254938865718169,0.024975355752865,1045.493506,0.0261008392458413,0.0265692095502003,0.0256324689414822
1056.2742979697,0.0250816359771915,0.0253370542580018,0.0248262176963812,1052.94953126982,0.0259476185229581,0.0264093866501191,0.0254858503957971
1067.05508993939,0.0249286507920421,0.0251802426420566,0.0246770589420275,1060.45872981379,0.0257943978000749,0.0262495905043883,0.0253392050957614
1077.83588190909,0.0247756656068926,0.0250234526828585,0.0245278785309268,1068.02148084161,0.0256411770771917,0.026089822289359,0.0251925318650243
1088.61667387879,0.0246226804217432,0.0248666853934917,0.0243786754499947,1075.63816626736,0.0254879563543085,0.0259300832459168,0.0250458294627002
1099.39746584848,0.0244696952365937,0.0247099418446043,0.0242294486285832,1083.30917072874,0.0253347356314253,0.0257703746835175,0.024899096579333
1110.17825781818,0.0243167100514443,0.024553223167959,0.0240801969349296,1091.03488160654,0.0251815149085421,0.0256106979844834,0.0247523318326008
1120.95904978788,0.0241637248662949,0.024396530560183,0.0239309191724068,1098.8156890442,0.0250282941856589,0.0254510546085737,0.024605533762744
1131.73984175758,0.0240107396811454,0.0242398652867207,0.0237816140755701,1106.65198596748,0.0248750734627757,0.0252914460978442,0.0244587008277072
1142.52063372727,0.023857754495996,0.0240832286859914,0.0236322803060005,1114.54416810435,0.0247218527398925,0.0251318740818086,0.0243118313979764
1153.30142569697,0.0237047693108465,0.0239266221737496,0.0234829164479435,1122.49263400492,0.0245686320170093,0.0249723402829161,0.0241649237511025
1164.08221766667,0.0235517841256971,0.0237700472476457,0.0233335210037484,1130.49778506162,0.0244154112941261,0.0248128465223563,0.0240179760658959
1174.86300963636,0.0233987989405476,0.0236135054919791,0.0231840923891162,1138.56002552941,0.0242621905712429,0.024653394726202,0.0238709864162837
1185.64380160606,0.0232458137553982,0.0234569985826295,0.0230346289281669,1146.67976254627,0.0241089698483597,0.0244939869319005,0.0237239527648188
1196.42459357576,0.0230928285702488,0.0233005282921507,0.0228851288483469,1154.85740615368,0.0239557491254765,0.0243346252951168,0.0235768729558362
1207.20538554545,0.0229398433850993,0.0231440964949995,0.0227355902751992,1163.09336931739,0.0238025284025933,0.0241753120969342,0.0234297447082524
1217.98617751515,0.0227868581999499,0.0229877051728669,0.0225860112270328,1171.38806794824,0.0236493076797101,0.0240160497514084,0.0232825656080118
1228.76696948485,0.0226338730148004,0.0228313564200686,0.0224363896095322,1179.74192092319,0.0234960869568269,0.0238568408134698,0.023135333100184
