"x.R","R.fit","R.upr","R.lwr","x.G","G.fit","G.upr","G.lwr"
803.684022,0.0280704735034521,0.0284130678735862,0.027727879133318,803.684022,0.0281483910228685,0.0285355417318883,0.0277612403138487
807.654267,0.028035763231875,0.0283728750653479,0.0276986513984021,806.922710641211,0.0281144206545629,0.0284956061913809,0.027733235117745
811.624512,0.0280010529602979,0.0283327207806617,0.0276693851399342,810.174450561068,0.0280804502862574,0.0284557064533401,0.0277051941191747
815.594757,0.0279663426887208,0.0282926069479338,0.0276400784295079,813.439294353659,0.0280464799179518,0.0284158442419705,0.0276771155939331
819.565002,0.0279316324171437,0.028252535610634,0.0276107292236535,816.717294825015,0.0280125095496463,0.028376021381987,0.0276489977173055
823.535247,0.0278969221455667,0.0282125089344572,0.0275813353566762,820.008504993967,0.0279785391813407,0.028336239804929,0.0276208385577524
827.505492,0.0278622118739896,0.0281725292148356,0.0275518945331435,823.312978092998,0.0279445688130352,0.0282965015558269,0.0275926360702434
831.475737,0.0278275016024125,0.0281325988847911,0.0275224043200339,826.63076756911,0.0279105984447296,0.0282568088002249,0.0275643880892343
835.445982,0.0277927913308354,0.0280927205231082,0.0274928621385626,829.961927084686,0.0278766280764241,0.0282171638315588,0.0275360923212894
839.416227,0.0277580810592583,0.0280528968627993,0.0274632652557172,833.306510518356,0.0278426577081185,0.0281775690788839,0.0275077463373531
843.386472,0.0277233707876812,0.028013130799821,0.0274336107755414,836.664571965872,0.0278086873398129,0.0281380271149396,0.0274793475646863
847.356717,0.0276886605161041,0.0279734254019845,0.0274038956302238,840.03616574098,0.0277747169715074,0.0280985406645299,0.0274508932784849
851.326962,0.027653950244527,0.0279337839179889,0.0273741165710651,843.421346376302,0.0277407466032018,0.0280591126131885,0.0274223805932152
855.297207,0.0276192399729499,0.0278942097864813,0.0273442701594186,846.820168624212,0.0277067762348963,0.0280197460160839,0.0273938064537086
859.267452,0.0275845297013728,0.0278547066450251,0.0273143527577206,850.232687457728,0.0276728058665907,0.0279804441071075,0.027365167626074
863.237697,0.0275498194297958,0.0278152783388319,0.0272843605207596,853.658958071399,0.0276388354982852,0.0279412103080653,0.027336460688505
867.207942,0.0275151091582187,0.027775928929075,0.0272542893873624,857.099035882195,0.0276048651299796,0.0279020482378789,0.0273076820220803
871.178187,0.0274803988866416,0.0277366627005716,0.0272241350727115,860.552976530408,0.0275708947616741,0.0278629617216705,0.0272788278016776
875.148432,0.0274456886150645,0.0276974841685755,0.0271938930615534,864.020835880546,0.0275369243933685,0.027823954799584,0.027249893987153
