"year","OCnANZ","Nsc","r"
1996,7.356716,0.968714218050648,0.0286597437513577
1997,7.570608,0.996878989060877,0.0291108482954541
1998,7.794234,1.02632550918287,0.0284432135914116
1999,8.01911,1.05593662622183,0.0283161790165752
2000,8.249426,1.0862640690434,0.0270633990496024
2001,8.475732,1.11606348495536,0.0265374098915505
2002,8.703667,1.1460774035695,0.0262048564806512
2003,8.93476,1.17650715983466,0.0259471036215858
2004,9.169625,1.20743360375644,0.0255254912028199
2005,9.406697,1.23865065999481,0.0251233052887905
2006,9.646018,1.27016385900618,0.0248833011822379
2007,9.889054,1.30216624005475,0.0245388609429528
2008,10.134722,1.33451519637168,0.0239641046646995
2009,10.380525,1.36688192915565,0.0238662286063151
2010,10.631249,1.3998966470823,0.0247431549005263
2011,10.897581,1.43496658795291,0.0235259967212798
2012,11.156997,1.46912584700136,0.0228354265249079
2013,11.414703,1.5030599374674,0.0223117971780794
2014,11.672248,1.53697282785053,0.0216289110227158
2015,11.927456,1.57057798783771,0.0207748550900983
2016,12.177839,1.60354780372542,0.0202160396433683
2017,12.426532,1.6362950845814,0.0196554266575666
2018,12.673197,1.6687753233993,0.0189784137142694
2019,12.916011,1.70074847203543,0.0178121428616442
2020,13.148134,1.73131385616016,0.0176637018435301
2021,13.382442,1.76216695569574,0.0165491687446918
2022,13.605753,1.79157199739466,0.0161672957609683
2023,13.827509,1.82077228052888,NA
