"x.R.Phase1","R.fit","R.upr","R.lwr","x.G.Phase1","G.fit","G.upr","G.lwr"
0,0.000324915406566757,0.00134328229966954,-0.000693451486536021,0,-Inf,NA,NA
0.0249964453535354,0.000422707356045196,0.00142543134632836,-0.000580016634237973,0.0249964453535354,-0.0186955839883557,-0.0144596447449112,-0.0229315232318003
0.0499928907070707,0.000520499305523634,0.00150759878166131,-0.000466600170614041,0.0499928907070707,-0.0144470280658128,-0.0109291886005001,-0.0179648675311256
0.0749893360606061,0.000618291255002072,0.00158978549290234,-0.000353202982898196,0.074989336060606,-0.0119617821689084,-0.00886362937334827,-0.0150599349644686
0.0999857814141414,0.00071608320448051,0.00167199242409075,-0.000239826015129726,0.0999857814141416,-0.0101984721432699,-0.00739783803933237,-0.0129991062472074
0.124982226767677,0.000813875153958948,0.00175422058058608,-0.000126470272668181,0.124982226767677,-0.00883074262910323,-0.00626068341736694,-0.0114008018408395
0.149978672121212,0.000911667103437387,0.00183647103400945,-1.31368271346793e-05,0.149978672121212,-0.00771322624636551,-0.00533139296112468,-0.0100950595316063
0.174975117474747,0.00100945905291582,0.00191874492765754,0.00010017317817411,0.174975117474747,-0.00676837960756789,-0.00454554102584002,-0.00899121818929575
0.199971562828283,0.00110725100239426,0.00200104348244114,0.000213458522347386,0.199971562828283,-0.00594991622072698,-0.00386466997257514,-0.00803516246887881
0.224968008181818,0.0012050429518727,0.00208336800340668,0.000326717900338722,0.224968008181818,-0.00522798034946112,-0.00326397285153847,-0.00719198784738378
0.249964453535354,0.00130283490135114,0.00216571988690615,0.000439949915796131,0.249964453535353,-0.00458218670656032,-0.00272651081344312,-0.00643786259967752
0.274960898888889,0.00140062685082958,0.00224810062848918,0.000553153073169972,0.274960898888889,-0.00399799529636201,-0.00224020130633302,-0.00575578928639099
0.299957344242424,0.00149841880030802,0.00233051183160037,0.000666325769015662,0.299957344242424,-0.00346467032382259,-0.00179612230126154,-0.00513321834638364
0.32495378959596,0.00159621074978645,0.00241295521717526,0.000779466282397644,0.32495378959596,-0.00297405890783434,-0.00138749760989093,-0.00456062020577774
0.349950234949495,0.00169400269926489,0.00249543263424077,0.000892572764289013,0.349950234949494,-0.00251982368502497,-0.00100905929598798,-0.00403058807406196
0.37494668030303,0.00179179464874333,0.00257794607163903,0.00100564322584763,0.37494668030303,-0.00209694080965594,-0.00065663057991767,-0.0035372510393942
0.399943125656566,0.00188958659822177,0.00266049767100948,0.00111867552543406,0.399943125656565,-0.00170136029818406,-0.000326843620368861,-0.00307587697599926
0.424939571010101,0.00198737854770021,0.00274308974118139,0.00123166735421903,0.424939571010101,-0.00132976952598749,-1.69429953448704e-05,-0.0026425960566301
0.449936016363636,0.00208517049717864,0.00282572477414899,0.0013446162202083,0.449936016363636,-0.00097942442691821,0.000275354569728459,-0.00223420342356488
0.474932461717172,0.00218296244665708,0.00290840546282422,0.00145751943048994,0.474932461717172,-0.00064802639258197,0.000551962507739355,-0.0018480152929033
0.499928907070707,0.00228075439613552,0.00299113472078743,0.00157037407148361,0.499928907070708,-0.000333630784017383,0.000814500453964373,-0.00148176202199914
0.524925352424242,0.00237854634561396,0.00307391570428582,0.0016831769869421,0.524925352424243,-3.45777881205677e-05,0.00106435172876133,-0.00113350730500246
0.549921797777778,0.0024763382950924,0.00315675183676184,0.00179592475342295,0.549921797777777,0.000250560626180907,0.00130270744793411,-0.000801586195572295
0.574918243131313,0.00257413024457084,0.00323964683623093,0.00190861365291074,0.574918243131314,0.000523021951040137,0.00153060083313604,-0.000484556931055762
0.599914688484849,0.00267192219404927,0.00332260474586918,0.00202123964222937,0.599914688484849,0.000783885598720342,0.0017489342292935,-0.00018116303185282
0.624911133838384,0.00276971414352771,0.00340562996821769,0.00213379831883773,0.624911133838384,0.00103409873014927,0.00195850061908484,0.000109696841213712
0.649907579191919,0.00286750609300615,0.00348872730346157,0.00224628488255074,0.649907579191919,0.00127449701470858,0.00216000093282731,0.000388993096589847
0.674904024545455,0.00296529804248459,0.00357190199229741,0.00235869409267176,0.674904024545456,0.0015058214699862,0.0023540581090976,0.000657584830874793
0.69990046989899,0.00306308999196303,0.00365515976396429,0.00247102021996176,0.69990046989899,0.00172873223751796,0.0025412286183186,0.000916235856717328
0.724896915252525,0.00316088194144147,0.0037385068900777,0.00258325699280523,0.724896915252524,0.00194381994009446,0.00272201198678957,0.00116562789339934
0.749893360606061,0.0032586738909199,0.00382195024497418,0.00269539753686563,0.749893360606061,0.002151615112887,0.00289685873133658,0.00140637149443742
0.774889805959596,0.00335646584039834,0.00390549737334214,0.00280743430745454,0.774889805959597,0.00235259608757872,0.00306617702088521,0.00163901515427222
0.799886251313131,0.00345425778987678,0.00398915656598011,0.00291935901377345,0.799886251313132,0.00254719562435887,0.00323033831122629,0.00186405293749146
