"x.R","R.fit","R.upr","R.lwr","x.G","G.fit","G.upr","G.lwr"
190.521929,0.0277827918043466,0.0288019107218286,0.0267636728868646,190.521929,0.028954512301957,0.030023159338273,0.0278858652656411
194.335247585859,0.0276678992534923,0.0286706864292969,0.0266651120776876,192.635904192493,0.0288367890824197,0.0298897583256649,0.0277838198391746
198.148566171717,0.0275530067026379,0.0285395789359969,0.026566434469279,194.773335430902,0.0287190658628825,0.029756427922462,0.0276817038033029
201.961884757576,0.0274381141517836,0.02840859409645,0.0264676342071171,196.9344829766,0.0286013426433452,0.0296231713640863,0.027579513922604
205.775203343434,0.0273232216009292,0.0282777381141719,0.0263687050876865,199.119609978747,0.0284836194238079,0.0294899920699232,0.0274772467776925
209.588521929293,0.0272083290500749,0.0281470175632647,0.0262696405368851,201.328982506327,0.0283658962042706,0.0293568936551292,0.027374898753412
213.401840515152,0.0270934364992205,0.0280164394110383,0.0261704335874027,203.562869580545,0.0282481729847333,0.0292238799432042,0.0272724660262623
217.21515910101,0.0269785439483662,0.0278860110416219,0.0260710768551104,205.82154320759,0.028130449765196,0.0290909549793674,0.0271699445510246
221.028477686869,0.0268636513975118,0.0277557402804984,0.0259715625145253,208.105278411749,0.0280127265456587,0.0289581230447709,0.0270673300465465
224.841796272727,0.0267487588466575,0.0276256354198664,0.0258718822734486,210.414353268898,0.0278950033261214,0.0288253886715875,0.0269646179806552
228.655114858586,0.0266338662958031,0.027495705244694,0.0257720273469123,212.74904894036,0.0277772801065841,0.0286927566590004,0.0268618035541678
232.468433444444,0.0265189737449488,0.0273659590592821,0.0256719884306155,215.109649707144,0.0276595568870468,0.0285602320901203,0.0267588816839734
236.281752030303,0.0264040811940945,0.0272364067141017,0.0255717556740872,217.496443004554,0.0275418336675095,0.0284278203498474,0.0266558469851716
240.095070616162,0.0262891886432401,0.0271070586326044,0.0254713186538758,219.909719457194,0.0274241104479722,0.0282955271436868,0.0265526937522576
243.90838920202,0.0261742960923858,0.0269779258376282,0.0253706663471433,222.349772914351,0.0273063872284349,0.0281633585175115,0.0264494159393583
247.721707787879,0.0260594035415314,0.0268490199769368,0.0252697871061261,224.816900485778,0.0271886640088976,0.0280313208782545,0.0263460071395407
251.535026373737,0.0259445109906771,0.0267203533473285,0.0251686686340257,227.311402577872,0.0270709407893603,0.0278994210154904,0.0262424605632302
