"year","LAC","Nsc","r"
1961,222.278098,0.503408413806335,0.0276297587361341
1962,228.505219,0.51751140071056,0.0275486177430104
1963,234.887733,0.531966316771776,0.0274121869685257
1964,241.415582,0.54675038294935,0.0271179015313056
1965,248.05184,0.561779970405104,0.0267368367161791
1966,254.773418,0.5770027879013,0.0262962090822803
1967,261.561857,0.592377030077922,0.0258380083682456
1968,268.408161,0.607882323078387,0.0253547408849186
1969,275.300589,0.623492076256833,0.0249547706586533
1970,282.25709,0.639246939941388,0.0243858316844755
1971,289.224775,0.655027132795801,0.0242621841501215
1972,296.327819,0.671113882436949,0.0239864329410569
1973,303.521598,0.687406125839461,0.0237808657780948
1974,310.826114,0.703949162901003,0.0234108498905889
1975,318.188663,0.720623631267478,0.0231228791055095
1976,325.631823,0.73748066487997,0.0228077332553561
1977,333.14409,0.75449420984273,0.0228517025372987
1978,340.84465,0.771934194843054,0.0226442875262266
1979,348.650884,0.789613506979966,0.0223300488795205
1980,356.52385,0.80744395164218,0.0220224835600591
1981,364.462484,0.825423119116112,0.0214336340469449
1982,372.358558,0.843305898046663,0.0213277725057325
1983,380.38543,0.861484904155247,0.0212822963759477
1984,388.567665,0.88001577147777,0.0208901766098763
1985,396.770291,0.898592819692869,0.0204318155141717
1986,404.960413,0.917141549243814,0.019956185926607
1987,413.123055,0.935628042958948,0.0196272947946885
1988,421.31164,0.954173291560852,0.0193415288238487
1989,429.539767,0.972808093635085,0.0189151433718013
1990,437.741901,0.991384027584129,0.018750940205701
1991,446.027411,1.01014878886383,0.0180038065462737
1992,454.130325,1.02850001249158,0.0178498382687526
1993,462.309257,1.04702339928406,0.0171708247878787
1994,470.316033,1.06515689260675,0.0168965454952333
1995,478.330265,1.08330727204267,0.0165075455345426
1996,486.291856,1.10133843180491,0.0160828436251159
1997,494.176042,1.11919428716865,0.0157516075124851
1998,502.021738,1.13696297159642,0.0156178655589623
1999,509.923792,1.15485929384204,0.0149692010630129
2000,517.614361,1.17227665154121,0.0142293458643869
2001,525.032326,1.1890766243137,0.013595965037751
2002,532.219394,1.20535366885544,0.013147780760966
2003,539.263101,1.22130603393365,0.0126219606614108
2004,546.112796,1.23681900676378,0.0123064770916821
2005,552.875045,1.25213393465584,0.0119996617812835
2006,559.549323,1.26724962860641,0.0117458886889833
2007,566.160478,1.28222236358085,0.0116163214727166
2008,572.775527,1.29720391756347,0.0113657367849847
2009,579.322679,1.3120317005656,0.0110642094618528
2010,585.768017,1.32662889843718,0.0106633195197711
2011,592.04767,1.34085085815534,0.0107352790769542
2012,598.437705,1.35532280753974,0.0104367185153299
2013,604.716137,1.36954200197567,0.0102704766896829
2014,610.958863,1.38368033059088,0.0099554491863269
2015,617.07161,1.39752428687338,0.00958328248644066
2016,623.013608,1.41098153621524,0.00929526027973791
2017,628.83168,1.42415812186756,0.00868865890356048
2018,634.319189,1.43658605888112,0.00845505850563119
2019,639.705132,1.4487839724267,0.00775594455115567
2020,644.68594,1.46006434902392,0.00631933804400089
2021,648.772828,1.46932020384721,0.0052038620518743
2022,652.157752,1.4769862727808,0.00675170691861479
2023,656.575828,1.4869921917231,NA
